[03:44:23] umvc3_shaderdump loaded
[03:44:23] IAT hook installed: Direct3DCreate9 was 00007FF87F8FC0C0
[03:44:23] Direct3DCreate9(32) -> 000000001AF921E0
[03:44:23]   hooked slot 16  CreateDevice         00007FF803767E80 in gameoverlayrenderer64.dll
[03:44:23] CreateDevice ok, device 000000001B1FAF20 - hooking its vtable
[03:44:23]   hooked slot 91  CreateVertexShader   00007FF87F8F7800 in d3d9.dll
[03:44:23]   hooked slot 106 CreatePixelShader    00007FF87F8C5C80 in d3d9.dll
[03:44:23]   hooked slot 92  SetVertexShader      00007FF87F90C2A0 in d3d9.dll
[03:44:23]   hooked slot 107 SetPixelShader       00007FF87F90B6B0 in d3d9.dll
[03:44:23] device hooked; shaders will be written to C:\Program Files (x86)\Steam\steamapps\common\ULTIMATE MARVEL VS. CAPCOM 3\shaderdump
[03:44:23] vertex shader #179    1100 bytes  crc 7EC2CE11  version 3_0  -> vs_0179_7EC2CE11.bin
[03:44:23] vertex shader #180    1328 bytes  crc 82C2C92C  version 3_0  -> vs_0180_82C2C92C.bin
[03:44:23] vertex shader #181    1268 bytes  crc 14518063  version 3_0  -> vs_0181_14518063.bin
[03:44:23] vertex shader #182    2472 bytes  crc 3B6B3C15  version 3_0  -> vs_0182_3B6B3C15.bin
[03:44:23] vertex shader #183    1460 bytes  crc 36B099E2  version 3_0  -> vs_0183_36B099E2.bin
[03:44:23] vertex shader #184    1308 bytes  crc 77705B96  version 3_0  -> vs_0184_77705B96.bin
[03:44:23] vertex shader #185    1060 bytes  crc 30B2642D  version 3_0  -> vs_0185_30B2642D.bin
[03:44:23] vertex shader #186     960 bytes  crc 18BE1957  version 3_0  -> vs_0186_18BE1957.bin
[03:44:23] vertex shader #187     784 bytes  crc 1A950460  version 3_0  -> vs_0187_1A950460.bin
[03:44:23] vertex shader #188     760 bytes  crc 1E05DEF6  version 3_0  -> vs_0188_1E05DEF6.bin
[03:44:23] vertex shader #189    2256 bytes  crc 755FCAC4  version 3_0  -> vs_0189_755FCAC4.bin
[03:44:23] vertex shader #190    1148 bytes  crc 2E63954F  version 3_0  -> vs_0190_2E63954F.bin
[03:44:23] vertex shader #191    1024 bytes  crc 0CFC00A1  version 3_0  -> vs_0191_0CFC00A1.bin
[03:44:23] vertex shader #192    1240 bytes  crc D1A3E2F9  version 3_0  -> vs_0192_D1A3E2F9.bin
[03:44:23] vertex shader #193     744 bytes  crc 5DBA86AC  version 3_0  -> vs_0193_5DBA86AC.bin
[03:44:23] vertex shader #194    1220 bytes  crc D874A9F4  version 3_0  -> vs_0194_D874A9F4.bin
[03:44:23] vertex shader #195    1260 bytes  crc 965FD1EB  version 3_0  -> vs_0195_965FD1EB.bin
[03:44:23] vertex shader #196    1276 bytes  crc 25D98DB7  version 3_0  -> vs_0196_25D98DB7.bin
[03:44:23] vertex shader #197    1336 bytes  crc C7CDE3C7  version 3_0  -> vs_0197_C7CDE3C7.bin
[03:44:23] vertex shader #198    1136 bytes  crc 859F9394  version 3_0  -> vs_0198_859F9394.bin
[03:44:23] vertex shader #199     912 bytes  crc E77A6F2E  version 3_0  -> vs_0199_E77A6F2E.bin
[03:44:23] vertex shader #200     988 bytes  crc C4F90F8D  version 3_0  -> vs_0200_C4F90F8D.bin
[03:44:23] vertex shader #201    1296 bytes  crc 17DF9B86  version 3_0  -> vs_0201_17DF9B86.bin
[03:44:23] vertex shader #202    1308 bytes  crc 72ACC26E  version 3_0  -> vs_0202_72ACC26E.bin
[03:44:23] vertex shader #203    1052 bytes  crc 66488C82  version 3_0  -> vs_0203_66488C82.bin
[03:44:23] vertex shader #204    1808 bytes  crc 44416A62  version 3_0  -> vs_0204_44416A62.bin
[03:44:23] vertex shader #205    1532 bytes  crc F8455A1E  version 3_0  -> vs_0205_F8455A1E.bin
[03:44:23] vertex shader #206    1040 bytes  crc 5552C942  version 3_0  -> vs_0206_5552C942.bin
[03:44:23] vertex shader #207    1132 bytes  crc BD549405  version 3_0  -> vs_0207_BD549405.bin
[03:44:23] vertex shader #208     964 bytes  crc B7385397  version 3_0  -> vs_0208_B7385397.bin
[03:44:23] vertex shader #209     824 bytes  crc 08355A08  version 3_0  -> vs_0209_08355A08.bin
[03:44:23] vertex shader #210    1972 bytes  crc 74EB7C92  version 3_0  -> vs_0210_74EB7C92.bin
